# event exchanged matrix data (local)
# receiving LP, sending LP, num of events sent, minimum timestamp delta, maximum timestamp delta, average timestamp delta
0,0,1,1,1,1
1,1,1,1,1,1
2,2,1,1,1,1
3,3,1,1,1,1
4,4,1,1,1,1
5,5,1,1,1,1
6,6,1,1,1,1
7,7,1,1,1,1
8,8,1,1.000001,1.000001,1.000001
9,9,1,1.000001,1.000001,1.000001
10,10,1,1.000001,1.000001,1.000001
11,11,1,1.000001,1.000001,1.000001
12,12,1,1.000001,1.000001,1.000001
13,13,1,1.000001,1.000001,1.000001
14,14,1,1.000001,1.000001,1.000001
15,15,1,1.000001,1.000001,1.000001
16,16,1,1.000001,1.000001,1.000001
17,17,1,1.000001,1.000001,1.000001
18,18,1,1.000001,1.000001,1.000001
19,19,1,1.000001,1.000001,1.000001
20,20,1,1.000001,1.000001,1.000001
21,21,1,1.000001,1.000001,1.000001
22,22,1,1.000001,1.000001,1.000001
23,23,1,1.000001,1.000001,1.000001
24,24,1,1.000001,1.000001,1.000001
25,25,1,1.000001,1.000001,1.000001
26,26,1,1.000001,1.000001,1.000001
27,27,1,1.000001,1.000001,1.000001
28,28,1,1.000001,1.000001,1.000001
29,29,1,1.000001,1.000001,1.000001
30,30,1,1.000001,1.000001,1.000001
31,31,1,1.000001,1.000001,1.000001
32,32,1,1.000001,1.000001,1.000001
33,33,1,1.000001,1.000001,1.000001
34,34,1,1.000001,1.000001,1.000001
35,35,1,1.000001,1.000001,1.000001
36,36,1,1.000001,1.000001,1.000001
37,37,1,1.000001,1.000001,1.000001
38,38,1,1.000001,1.000001,1.000001
39,39,1,1.000001,1.000001,1.000001
40,40,1,1.000001,1.000001,1.000001
41,41,1,1.000001,1.000001,1.000001
42,42,1,1.000001,1.000001,1.000001
43,43,1,1.000001,1.000001,1.000001
44,44,1,1.000001,1.000001,1.000001
45,45,1,1.000001,1.000001,1.000001
46,46,1,1.000001,1.000001,1.000001
47,47,1,1.000001,1.000001,1.000001
48,48,1,1.000002,1.000002,1.000002
49,49,1,1.000002,1.000002,1.000002
50,50,1,1.000002,1.000002,1.000002
51,51,1,1.000002,1.000002,1.000002
52,52,1,1.000002,1.000002,1.000002
53,53,1,1.000002,1.000002,1.000002
54,54,1,1.000002,1.000002,1.000002
55,55,1,1.000002,1.000002,1.000002
56,56,1,1.000002,1.000002,1.000002
57,57,1,1.000002,1.000002,1.000002
58,58,1,1.000002,1.000002,1.000002
59,59,1,1.000002,1.000002,1.000002
60,60,1,1.000002,1.000002,1.000002
61,61,1,1.000002,1.000002,1.000002
62,62,1,1.000002,1.000002,1.000002
63,63,1,1.000002,1.000002,1.000002
64,64,1,1.000002,1.000002,1.000002
65,65,1,1.000002,1.000002,1.000002
66,66,1,1.000002,1.000002,1.000002
67,67,1,1.000002,1.000002,1.000002
68,68,1,1.000002,1.000002,1.000002
69,69,1,1.000002,1.000002,1.000002
70,70,1,1.000002,1.000002,1.000002
71,71,1,1.000002,1.000002,1.000002
72,72,1,1.000002,1.000002,1.000002
73,73,1,1.000002,1.000002,1.000002
74,74,1,1.000002,1.000002,1.000002
75,75,1,1.000002,1.000002,1.000002
76,76,1,1.000002,1.000002,1.000002
77,77,1,1.000002,1.000002,1.000002
78,78,1,1.000002,1.000002,1.000002
79,79,1,1.000002,1.000002,1.000002
80,80,1,1.000002,1.000002,1.000002
81,81,1,1.000002,1.000002,1.000002
82,82,1,1.000002,1.000002,1.000002
83,83,1,1.000002,1.000002,1.000002
84,84,1,1.000002,1.000002,1.000002
85,85,1,1.000002,1.000002,1.000002
86,86,1,1.000002,1.000002,1.000002
87,87,1,1.000003,1.000003,1.000003
88,88,1,1.000003,1.000003,1.000003
89,89,1,1.000003,1.000003,1.000003
90,90,1,1.000003,1.000003,1.000003
91,91,1,1.000003,1.000003,1.000003
92,92,1,1.000003,1.000003,1.000003
93,93,1,1.000003,1.000003,1.000003
94,94,1,1.000003,1.000003,1.000003
95,95,1,1.000003,1.000003,1.000003
96,96,1,1.000003,1.000003,1.000003
97,97,1,1.000003,1.000003,1.000003
98,98,1,1.000003,1.000003,1.000003
99,99,1,1.000003,1.000003,1.000003
100,100,1,1.000003,1.000003,1.000003
101,101,1,1.000003,1.000003,1.000003
102,102,1,1.000003,1.000003,1.000003
103,103,1,1.000003,1.000003,1.000003
104,104,1,1.000003,1.000003,1.000003
105,105,1,1.000003,1.000003,1.000003
106,106,1,1.000003,1.000003,1.000003
107,107,1,1.000003,1.000003,1.000003
108,108,1,1.000003,1.000003,1.000003
109,109,1,1.000003,1.000003,1.000003
110,110,1,1.000003,1.000003,1.000003
111,111,1,1.000003,1.000003,1.000003
112,112,1,1.000003,1.000003,1.000003
113,113,1,1.000003,1.000003,1.000003
114,114,1,1.000003,1.000003,1.000003
115,115,1,1.000003,1.000003,1.000003
116,116,1,1.000003,1.000003,1.000003
117,117,1,1.000003,1.000003,1.000003
118,118,1,1.000003,1.000003,1.000003
119,119,1,1.000003,1.000003,1.000003
120,120,1,1.000003,1.000003,1.000003
121,121,1,1.000003,1.000003,1.000003
122,122,1,1.000003,1.000003,1.000003
123,123,1,1.000003,1.000003,1.000003
124,124,1,1.000003,1.000003,1.000003
125,125,1,1.000003,1.000003,1.000003
126,126,1,1.000003,1.000003,1.000003
127,127,1,1.000003,1.000003,1.000003
128,128,1,1.000003,1.000003,1.000003
129,129,1,1.000003,1.000003,1.000003
130,130,1,1.000003,1.000003,1.000003
