# summary of local and remote events executed
# LP, local, remote, total
"27862", 1, 0, 1
"52012", 1, 1, 2
"2631", 1, 0, 1
"57264", 434, 1235, 1669
"59081", 1, 0, 1
"44632", 1, 0, 1
"51919", 1, 0, 1
"11508", 1, 1, 2
"25955", 413, 1231, 1644
"49331", 1, 0, 1
"11671", 604, 2100, 2704
"6605", 586, 1917, 2503
"23053", 571, 1603, 2174
"60631", 1, 6, 7
"4393", 441, 1382, 1823
"38617", 1, 18, 19
"34593", 1, 0, 1
"45481", 474, 1423, 1897
"61580", 1, 1, 2
"18564", 1, 6, 7
"62025", 614, 2007, 2621
"34114", 366270, 1556, 367826
"18917", 503, 1407, 1910
"32079", 515, 1747, 2262
"34948", 1, 0, 1
"38315", 492, 1443, 1935
"20529", 1, 1, 2
"3976", 468, 1315, 1783
"12088", 515, 1830, 2345
"32816", 525, 1457, 1982
"41688", 1, 0, 1
"36544", 1, 9, 10
"38054", 1, 2, 3
"61624", 1, 2, 3
"58418", 520, 1472, 1992
"33714", 491, 1489, 1980
"51637", 482, 1438, 1920
"8292", 1, 6, 7
"433", 529, 1576, 2105
"3262", 1, 1, 2
"33946", 1, 5, 6
"16208", 444, 1386, 1830
"52343", 1, 0, 1
"53525", 1, 0, 1
"40547", 1, 5, 6
"30732", 603, 1970, 2573
"39982", 472, 1317, 1789
"47100", 563, 1686, 2249
"27510", 478, 1477, 1955
"4200", 1, 0, 1
"16929", 1, 0, 1
"56719", 485, 1595, 2080
"60671", 1, 0, 1
"56879", 571, 1781, 2352
"37321", 530, 1538, 2068
"28712", 570, 1664, 2234
"1683", 1, 1, 2
"40549", 1, 6, 7
"48419", 1, 1, 2
"49008", 424, 1296, 1720
"25208", 1, 4, 5
"62442", 562, 1837, 2399
"17843", 563, 1771, 2334
"33185", 463, 1351, 1814
"57591", 1, 3, 4
"25275", 1, 0, 1
"45752", 1, 4, 5
"23037", 561, 1585, 2146
"37754", 516, 1762, 2278
"18718", 1, 0, 1
"7086", 614, 2153, 2767
"3684", 1, 0, 1
"45257", 1, 7, 8
"337", 481, 1477, 1958
"62506", 597, 1933, 2530
"31582", 476, 1558, 2034
"29334", 1, 0, 1
"19708", 1, 2, 3
"6341", 1, 4, 5
"22043", 549, 1580, 2129
"34620", 1, 0, 1
"96", 1, 0, 1
"27670", 559, 1660, 2219
"30075", 492, 1502, 1994
"15326", 430, 1159, 1589
"51819", 1, 0, 1
"43225", 1, 0, 1
"41826", 456, 1503, 1959
"16641", 1, 0, 1
"39389", 629, 2194, 2823
"9832", 1, 1, 2
"62955", 445, 1299, 1744
"48607", 525, 1576, 2101
"7438", 413716, 1767, 415483
"5756", 1, 8, 9
"19068", 1, 5, 6
"10757", 595, 1857, 2452
"12104", 529, 1850, 2379
"12665", 536, 1666, 2202
"42737", 1, 0, 1
"10913", 1, 3, 4
"45433", 453, 1375, 1828
"24112", 1, 0, 1
"24765", 1, 0, 1
"25165", 1, 0, 1
"28245", 1, 4, 5
"24671", 1, 0, 1
"57408", 500, 1340, 1840
"45189", 1, 0, 1
"5034", 499, 1484, 1983
"60983", 550, 1629, 2179
"42916", 411, 1179, 1590
"38908", 503, 1436, 1939
"39525", 1, 0, 1
"58963", 559, 1583, 2142
"61211", 1, 6, 7
"28753", 1, 4, 5
"56703", 469, 1573, 2042
"26323", 1, 6, 7
"37129", 1, 1, 2
"16737", 423, 1212, 1635
"8192", 608, 1882, 2490
"914", 515, 1464, 1979
"56070", 1, 5, 6
"9603", 543, 1651, 2194
"54683", 469, 1506, 1975
"18148", 1, 7, 8
"40816", 442, 1295, 1737
"20114", 1, 6, 7
"18626", 1, 0, 1
"10391", 1, 2, 3
"23951", 530, 1606, 2136
"5782", 1, 25, 26
"61544", 632, 1972, 2604
"61155", 1, 0, 1
"34576", 1, 2, 3
"42133", 1, 5, 6
"52354", 1, 2, 3
"33281", 511, 1435, 1946
"7134", 637, 2218, 2855
"11969", 1, 14, 15
"1266", 1, 116, 117
"49681", 499, 1449, 1948
"28487", 452, 1419, 1871
"12729", 575, 1751, 2326
"24961", 498, 1592, 2090
"21099", 1, 5, 6
"37158", 1, 0, 1
"3847", 336116, 1406, 337522
"219", 1, 0, 1
"38796", 447, 1337, 1784
"18666", 1, 21, 22
"22460", 501, 1476, 1977
"18853", 471, 1355, 1826
"24308", 1, 16, 17
"30251", 582, 1659, 2241
"19623", 1, 1, 2
"4409", 454, 1395, 1849
"48591", 515, 1560, 2075
"7471", 482, 1504, 1986
"9761", 1, 0, 1
"30331", 1, 1, 2
"10392", 1, 16, 17
"58194", 1, 1, 2
"25618", 507, 1429, 1936
"25903", 1, 1, 2
"13451", 1, 6, 7
"46895", 1, 1, 2
"23021", 556, 1564, 2120
"22412", 475, 1423, 1898
"38580", 1, 6, 7
"19498", 1, 2, 3
"20577", 1, 1, 2
"45929", 505, 1666, 2171
"13771", 514, 1474, 1988
"38696", 1, 7, 8
"33297", 511, 1441, 1952
"28119", 507, 1424, 1931
"17779", 522, 1686, 2208
"26147", 501, 1385, 1886
"48623", 536, 1597, 2133
"18689", 1, 1, 2
"58290", 446, 1348, 1794
"47581", 414, 1114, 1528
"559", 1, 0, 1
"56455", 1, 9, 10
"57761", 468, 1501, 1969
"59120", 1, 0, 1
"54065", 1, 0, 1
"28218", 1, 3, 4
"57312", 453, 1268, 1721
"19270", 497, 1667, 2164
"4299", 1, 1, 2
"60161", 1, 8, 9
"19462", 606, 1915, 2521
"54875", 571, 1704, 2275
"65087", 593, 1858, 2451
"23715", 1, 0, 1
"26867", 1, 2, 3
"3648", 1, 0, 1
"61777", 1, 40, 41
"8561", 573, 1953, 2526
"29513", 449, 1472, 1921
"32016", 1, 1, 2
"41473", 581, 1782, 2363
"38940", 518, 1459, 1977
"12444", 1, 2, 3
"36011", 1, 6, 7
"9571", 524, 1614, 2138
"51912", 1, 0, 1
"3463", 499, 1561, 2060
"60438", 482, 1323, 1805
"6477", 520, 1749, 2269
"8304", 1, 10, 11
"5683", 1, 0, 1
"30523", 475208, 2034, 477242
"22973", 533, 1510, 2043
"5647", 1, 3, 4
"18260", 470, 1396, 1866
"4249", 1, 0, 1
"39589", 1, 0, 1
"51472", 1, 3, 4
"45945", 515, 1696, 2211
"46651", 464, 1223, 1687
"39357", 605, 2136, 2741
"42563", 656, 2209, 2865
"1712", 1, 0, 1
"57563", 1, 6, 7
"9970", 1, 2, 3
"59633", 1, 5, 6
"29690", 547, 1654, 2201
"52909", 1, 7, 8
"14204", 571, 2058, 2629
"63371", 405, 1224, 1629
"3661", 1, 13, 14
"58402", 512, 1460, 1972
"46880", 1, 9, 10
"14085", 1, 6, 7
"30091", 498, 1514, 2012
"53868", 1, 1, 2
"50659", 457, 1258, 1715
"2982", 440, 1140, 1580
"42693", 1, 0, 1
"59715", 1, 22, 23
"60855", 478, 1480, 1958
"62554", 633, 2003, 2636
"3672", 1, 5, 6
"37241", 486, 1456, 1942
"19055", 1, 1, 2
"59909", 525, 1557, 2082
"24945", 492, 1568, 2060
"8689", 662, 2152, 2814
"38267", 467, 1401, 1868
"52462", 1, 0, 1
"59699", 1, 2, 3
"50675", 460, 1263, 1723
"4722", 1, 0, 1
"61689", 1, 8, 9
"9796", 1, 4, 5
"41723", 1, 2, 3
"3082", 1, 1, 2
"15013", 1, 2, 3
"3681", 1, 10, 11
"11517", 1, 14, 15
"55523", 1, 1, 2
"58322", 465, 1375, 1840
"56022", 1, 0, 1
"12232", 605, 2031, 2636
"57087", 1, 4, 5
"29855", 1, 0, 1
"7519", 511, 1560, 2071
"6861", 1, 0, 1
"34868", 636, 1889, 2525
"21915", 486, 1463, 1949
"64061", 584, 1868, 2452
"65439", 491, 1503, 1994
"62490", 594, 1910, 2504
"18074", 1, 0, 1
"17394", 518, 1399, 1917
"28087", 494, 1398, 1892
"59780", 456, 1422, 1878
"53084", 1, 0, 1
"43164", 1, 0, 1
"19750", 328315, 1381, 329696
"12793", 617, 1830, 2447
"18709", 1, 6, 7
"61268", 1, 1, 2
"53588", 1, 47, 48
"15032", 1, 0, 1
"50130", 555, 1844, 2399
"12385", 1, 6, 7
"62378", 521, 1746, 2267
"37180", 1, 4, 5
"21742", 1, 33, 34
"61400", 548, 1788, 2336
"12838", 1, 1, 2
"5114", 546, 1574, 2120
"11703", 633, 2170, 2803
"23406", 427, 1334, 1761
"22396", 467, 1404, 1871
"61562", 1, 3, 4
"61114", 1, 2, 3
"44281", 1, 0, 1
"27654", 551, 1644, 2195
"58653", 1, 3, 4
"11719", 643, 2194, 2837
"39276", 549, 2007, 2556
"59893", 513, 1543, 2056
"56366", 588, 1806, 2394
"8993", 495, 1677, 2172
"47207", 1, 1, 2
"24731", 1, 0, 1
"27848", 1, 10, 11
"13739", 502, 1443, 1945
"16897", 490, 1324, 1814
"21240", 1, 4, 5
"14551", 1, 0, 1
"24301", 1, 7, 8
"21272", 1, 0, 1
"27412", 1, 1, 2
"29783", 1, 0, 1
"45000", 537, 1700, 2237
"10412", 1, 2, 3
"56735", 495, 1612, 2107
"12874", 1, 0, 1
"17165", 1, 0, 1
"16320", 490, 1482, 1972
"19568", 1, 1, 2
"39559", 1, 0, 1
"15198", 391, 1096, 1487
"19028", 1, 2, 3
"40880", 475, 1351, 1826
"47921", 1, 3, 4
"57280", 444, 1244, 1688
"55591", 1, 2, 3
"37914", 611, 2003, 2614
"56205", 496, 1601, 2097
"47693", 454, 1179, 1633
"60919", 508, 1544, 2052
"55163", 419, 1207, 1626
"30716", 591, 1943, 2534
"39187", 1, 0, 1
"22120", 1, 0, 1
"61703", 1, 2, 3
"1427", 597, 1961, 2558
"20488", 659, 2301, 2960
"20683", 1, 22, 23
"1748", 1, 0, 1
"3147", 1, 12, 13
"36593", 1, 0, 1
"6493", 528, 1769, 2297
"51353", 1, 0, 1
"45513", 489, 1456, 1945
"49851", 1, 10, 11
"9025", 511, 1722, 2233
"54902", 1, 0, 1
"59647", 1, 0, 1
"10334", 1, 16, 17
"37289", 514, 1504, 2018
"17078", 1, 15, 16
"42258", 1, 1, 2
"17859", 576, 1788, 2364
"56751", 499, 1628, 2127
"45064", 573, 1778, 2351
"33579", 1, 1, 2
"3267", 1, 16, 17
"3366", 450, 1461, 1911
"6108", 598, 1903, 2501
"23870", 483, 1517, 2000
"64510", 471, 1355, 1826
"12053", 1, 1, 2
"4553", 518, 1542, 2060
"23119", 1, 6, 7
"18127", 1, 0, 1
"62410", 540, 1791, 2331
"26419", 443630, 1924, 445554
"49216", 521, 1465, 1986
"13449", 1, 0, 1
"34422", 1, 0, 1
"35021", 1, 8, 9
"3841", 1, 0, 1
"43218", 1, 0, 1
"12681", 549, 1685, 2234
"20161", 1, 3, 4
"10051", 373, 1022, 1395
"53705", 536, 1725, 2261
"36534", 1, 1, 2
"10330", 1, 5, 6
"12136", 549, 1895, 2444
"49926", 1, 0, 1
"34018", 1, 0, 1
"4425", 453, 1406, 1859
"38379", 526, 1514, 2040
"25057", 554, 1706, 2260
"7772", 1, 0, 1
"41228", 1, 0, 1
"13540", 1, 3, 4
"5931", 492, 1666, 2158
"55276", 466, 1288, 1754
"22784", 1, 0, 1
"22011", 537, 1558, 2095
"55676", 413, 1245, 1658
"43028", 459, 1268, 1727
"10321", 1, 9, 10
"20023", 1, 0, 1
"18949", 517, 1424, 1941
"54202", 453, 1331, 1784
"64710", 1, 0, 1
"12400", 1, 5, 6
"57344", 469, 1300, 1769
"24295", 1, 3, 4
"18711", 1, 0, 1
"27333", 1, 5, 6
"28844", 1, 0, 1
"40383", 519, 1604, 2123
"49259", 1, 0, 1
"55708", 430, 1273, 1703
"31646", 514, 1641, 2155
"57637", 1, 0, 1
"60261", 1, 8, 9
"30289", 1, 0, 1
"50986", 1, 3, 4
"23005", 548, 1541, 2089
"41874", 486, 1569, 2055
"15294", 415, 1141, 1556
"60561", 1, 0, 1
"24686", 1, 2, 3
"3305", 1, 0, 1
"17827", 552, 1743, 2295
"52101", 490, 1608, 2098
"27786", 1, 0, 1
"38642", 1, 0, 1
"16352", 503, 1513, 2016
"24383", 491, 1590, 2081
"26115", 485, 1367, 1852
"38812", 456, 1346, 1802
"27157", 523, 1435, 1958
